"filename", "language", "Go", "XML", "Docker", "YAML", "Shell Script", "Ini", "Markdown", "comment", "blank", "total"
"c:\Boxs\Tmp\cygo-iris\Readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 207, 0, 61, 268
"c:\Boxs\Tmp\cygo-iris\assets\locale\en-US\default.ini", "Ini", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Boxs\Tmp\cygo-iris\assets\locale\en-US\validator.ini", "Ini", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Boxs\Tmp\cygo-iris\assets\locale\zh-CN\default.ini", "Ini", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Boxs\Tmp\cygo-iris\assets\locale\zh-CN\validator.ini", "Ini", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Boxs\Tmp\cygo-iris\cmd\docker-compose\docker-compose.yaml", "YAML", 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
"c:\Boxs\Tmp\cygo-iris\cmd\docker\Dockerfile", "Docker", 0, 0, 17, 0, 0, 0, 0, 0, 6, 23
"c:\Boxs\Tmp\cygo-iris\cmd\docker\build.sh", "Shell Script", 0, 0, 0, 0, 8, 0, 0, 1, 3, 12
"c:\Boxs\Tmp\cygo-iris\controller\v1\common\error_code.go", "Go", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Boxs\Tmp\cygo-iris\controller\v1\common\main.go", "Go", 57, 0, 0, 0, 0, 0, 0, 4, 10, 71
"c:\Boxs\Tmp\cygo-iris\controller\v1\user\login.go", "Go", 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Boxs\Tmp\cygo-iris\controller\v1\user\logout.go", "Go", 12, 0, 0, 0, 0, 0, 0, 0, 6, 18
"c:\Boxs\Tmp\cygo-iris\controller\v1\user\register.go", "Go", 61, 0, 0, 0, 0, 0, 0, 1, 11, 73
"c:\Boxs\Tmp\cygo-iris\go.mod", "XML", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Boxs\Tmp\cygo-iris\main.go", "Go", 25, 0, 0, 0, 0, 0, 0, 18, 9, 52
"c:\Boxs\Tmp\cygo-iris\repository\common.go", "Go", 31, 0, 0, 0, 0, 0, 0, 5, 9, 45
"c:\Boxs\Tmp\cygo-iris\repository\init.go", "Go", 21, 0, 0, 0, 0, 0, 0, 2, 8, 31
"c:\Boxs\Tmp\cygo-iris\repository\user.go", "Go", 54, 0, 0, 0, 0, 0, 0, 2, 12, 68
"c:\Boxs\Tmp\cygo-iris\route\route.go", "Go", 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Boxs\Tmp\cygo-iris\service\common.go", "Go", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Boxs\Tmp\cygo-iris\service\session.go", "Go", 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Boxs\Tmp\cygo-iris\service\user.go", "Go", 22, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\Boxs\Tmp\cygo-iris\session\init.go", "Go", 27, 0, 0, 0, 0, 0, 0, 2, 7, 36
"c:\Boxs\Tmp\cygo-iris\util\i18n\init.go", "Go", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Boxs\Tmp\cygo-iris\util\log\logger.go", "Go", 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Boxs\Tmp\cygo-iris\util\validator\init.go", "Go", 12, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Boxs\Tmp\cygo-iris\util\validator\regex.go", "Go", 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"Total", "-", 427, 15, 17, 24, 8, 47, 207, 36, 196, 977